title|category|tags_string|date|content
в школах региона прошли внеурочные занятия по теме «С заботой к себе и окружающим»|Образование|None|02.12.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Ученики 1–11 классов собрались, чтобы обсудить важность заботы о себе и людях вокруг. Урок прошёл в формате увлекательной беседы, включавшей просмотр видеоматериалов и выполнение интерактивных заданий.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в Министерстве образования Магаданской области.Основная цель занятий — формирование у школьников осознанного отношения к своему физическому и эмоциональному здоровью. Участники начали с обсуждения понятия заботы, а затем посмотрели эпизод из киножурнала «Ералаш», который помог понять, как проявлять заботу в повседневной жизниВ ходе урока затронули ключевые аспекты: как заботиться о себе, как поддерживать близких и друзей, а также как быть чуткими к окружающим. Учащиеся познакомились с мудрыми советами профессионального психолога о создании гармоничных отношений и узнали о личных границах — важном элементе здорового общения.Данные уроки способствовали развитию эмпатии и ответственности, что особенно важно в нашем обществе. Надеемся, что полученные знания помогут всем учащимся стать более внимательными как к себе, так и к людям вокруг."
Билеты из Магадана в Москву по плоскому тарифу в наличии на все рейсы на ближайшие месяцы|Разное|Полетели|01.10.2023|МАГАДАН. КОЛЫМА-ИНФОРМ. На маршруте Магадан-Москва авиакомпания “Россия” (дочернее предприятие “Аэрофлота”) предлагает 6 рейсов в неделю в октябре и 5 в ноябре-декабре. Билеты по плоскому тарифу (25 тыс.руб. туда и обратно, в пересчёте на колымское золото — 4,3 грамма) в наличии на все рейсы на ближайшие месяцы за исключением самых ближайших дней.Доступны и билеты по государственным программам субсидирования (для жителей Дальнего Востока — 10200 руб. в один конец, для молодёжи, пенсионеров, инвалидов и многодетных — 7200 в один конец).На 7 % в течение сентября снизился средний круговой авиатариф на рейсе Магадан-Хабаровск, сейчас он составляет 26,4 тыс.руб. (это самые дешёвые невозвратные и безбагажные билеты). Рейсы выполняет авиакомпания “Аврора”. Год назад в этот же период средний авиатариф на хабаровском направлении составлял 26,6 тыс.руб., два года назад — 24,2 тыс.руб.В рамках мониторинга Общественная палата Магаданской области фиксирует авиатарифы на направлениях в Москву и Хабаровск и обратно один раз в месяц по первым числам. Берутся варианты покупки самых недорогих билетов на прямые рейсы через неделю на неделю и через месяц на месяц, что примерно соответствует ситуациям командировки и отпуска. Затем с учётом частоты рейсов различных перевозчиков определяется средневзвешенный тариф. Мониторинг проводится с 2015 года.
В Магаданской области за неделю сотрудниками ГИБДД и камерами автоматической фиксации выявлено 945 нарушений ПДД|Транспорт|Сводка|02.12.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. В Магаданской области в период с 25 ноября по 1 декабря сотрудниками Госавтоинспекции и камерами автоматической фиксации выявлено 945 нарушений Правил дорожного движения, из них:- один факт по признакам преступления, предусмотренного ст. 264.1 УК РФ (повторное управление транспортным средством водителем в состоянии опьянения);- 12 фактов управления транспортным средством водителями в состоянии опьянения;- один водитель отказался от прохождения медицинского освидетельствования;- 25 случаев управления автомобилем водителями, не имеющими соответствующего права;- 3 факта управления транспортным средством лицом, лишенным права управления;- 3 факта выезда на полосу встречного движения;- 24 случая несоблюдения требования дорожных знаков и разметки;- 12 фактов тонировки стекол, не соответствующей техническому регламенту;- 9 случаев проезда на запрещающий сигнал светофора;- 2 факта нарушения правил перевозки детей;- 41 случай нарушения правил применения ремней безопасности и мотошлемов;- 3 факта нарушения правил остановки и стоянки транспортного средства;- по фактам превышения установленной скорости движения составлено 480 административных материалов.Госавтоинспекторы зарегистрировали пять ДТП, в результате которых четыре человека пострадали и один погиб.Управление Госавтоинспекции УМВД России по Магаданской области
Андрей Зыков с рабочим визитом прибыл в поселок Ягодное|Общество|ОблДума|06.02.2018|МАГАДАН. КОЛЫМА-ИНФОРМ. Сегодня, 6 февраля, первый вице-спикер Магаданской областной Думы Андрей Зыков прибыл в поселок Ягодное с рабочим визитом. Депутат регулярно посещает городской округ. Предыдущая поездка состоялась в декабре прошлого года.В этот раз за 2 дня парламентарий планирует провести прием граждан по личным вопросам, встретиться с ветеранами округа, членами «Единой России» и сторонниками партии, руководителями учреждений бюджетной сферы. Также Андрей Зыков обговорит ряд текущих проблем и вопросов с главой Ягоднинского городского округа Дмитрием Бородиным.
"В течение трех лет на капитальный ремонт автодороги ""Герба-Омсукчан"" из областного бюджета потратят 124 миллиона рублей"|Разное|None|05.10.2012|"МАГАДАН. КОЛЫМА-ИНФОРМ.И это не считая тех средств, которые выделены на устранение последствий августовского паводка. Об этом сообщает депутат Магаданской областной Думы Игорь Донцов.Протяженность автодороги Герба-Омсукчан 256 километров. Чтобы добраться до райцентра, необходимо преодолеть сотни опасных поворотов, а также 4 перевала и 20 мостов. Многие  сооружения находятся в неудовлетворительном состоянии, а некоторые участки трассы давно нуждались в реконструкции.""В нынешнем году на капитальный ремонт омсукчанской трассы потрачено около 28 миллионов рублей"", – отметил Игорь Донцов, – ""В первую очередь дорожники занимались самыми проблемными участками. Капитально отремонтирован мост через ручей Сулухучан, который не чинили с 80-х годов прошлого века. Только на этот проект было выделено порядка 38 млн. рублей.""Второе крупное направление – это ремонт отрезка трассы с 13 по 20 километр. В последние годы именно он доставлял больше всего неудобств водителям. Теперь дорогу выровняли, подняли и установили здесь 5 водопропускных труб большого диаметра. Уже в следующем году финансирование капитального ремонта дороги составит 48 миллионов рублей. К 2014 году объем ассигнований достигнет 53 миллионов”."
No Title|Власть и политика|None|No Date|No Content
Роман Исаев провел прием граждан по личным вопросам|Общество|ОблДума|30.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Руководитель фракции ЛДПР в Магаданской областной Думе Роман Исаев встретился с магаданцами в региональном отделении партии. Жители региона обратились на прием как с личными вопросами, так и с предложениями по повышению качества жизни в своих населенных пунктах.Как рассказал парламентарий, на приеме звучали вопросы, касающиеся несправедливых условий компенсации при расселении из жилья в связи с закрытием поселка, опасной дорожной обстановки из-за невнимательных водителей маршрутных такси. Также звучали жалобы на несвоевременную и некачественную расчистку дорог и дворов в Магадане после снегопада.«Прием проводили вместе с юристом партийного отделения. По итогам встречи были подготовлены запросы в соответствующие органы власти для скорейшего решения этих вопросов, - прокомментировал Роман Исаев. - ЛДПР продолжает активно работать над улучшением условий жизни в нашем регионе. Благодарю всех, кто пришел и поделился своими проблемами. Вместе мы сделаем Магаданскую область лучше!».Напомним, Роман Исаев проводит прием избирателей ежедневно (кроме воскресенья): понедельник – пятница с 10.00 до 18.00, суббота – с 10.00 до 14.00 по адресу: г. Магадан, пр. К. Маркса, д. 54, Общественная приемная регионального отделения Политической партии ЛДПР. Запись по телефону: 8 (4132) 62-83-56.
Депутаты Магаданской областной Думы проведут серию встреч с земляками в декаду приемов граждан к 20-летию «Единой России»|Общество|ЕР|27.11.2021|МАГАДАН. КОЛЫМА-ИНФОРМ. С 1 по 10 декабря в региональной общественной приемной председателя партии «Единая Россия» Д.А. Медведева состоится декада приемов граждан, приуроченная к двадцатилетию со дня создания партии. Колымчане смогут внести предложения по повышению качества жизни в регионе и обсудить проблемы с сенаторами Совета Федерации, депутатами Государственной Думы, колымскими парламентариями, руководством органов исполнительной власти и местного самоуправления территории, специалистами Пенсионного фонда, Фонда социального страхования, Государственного юридического бюро, Государственной жилищной инспекцииВ этом году в связи с напряженной эпидемиологической обстановкой приемы преимущественно пройдут в дистанционном формате - по телефону и видеосвязи.Откроет декаду председатель Магаданской областной Думы, руководитель региональной общественной приемной председателя партии «Единая Россия»Сергей Абрамов. К спикеру заксобрания можно обратиться 1 декабря с 16:00 до 17:00, запись по телефону 8(4132)600-960.Первый заместитель председателя Магаданской областной Думы Андрей Зыков проведет «прямую линию» 2 декабря с 10:00 до 12:00 (тел.: 8(4132)626-241). 2 декабря с 14:00 до 18:00 колымчане смогут обратиться по телефону 8-914-036-91-09 в мессенджере WhatsApp к заместителю председателя регионального парламента, координатору партийного проекта «Крепкая семья» Виктории Голубевой. Она также встретится с магаданцами в региональной общественной приёмной 9 декабря с 10:00 до 12:00, запись по телефону 8(4132)600-960. Депутат Петр Голубовский будет общаться с земляками 1 и 6 декабря с 9:00 до 12:30 посредством мессенджера WhatsApp (телефон для обращений – 8-924-691-02-29). Остальные парламентарии проведут дистанционные приемы в своих избирательных округах по отдельному расписанию.Запись на приемы граждан осуществляется по телефону 8(4132)60-09-60, адресу электронной почты op@magadan.er.ru или через личные обращения в социальных сетях региональной общественной приемной.
Газета «Колымская правда» начала выходить в Магадане под названием «Дальстроевец» 85 лет назад|День в истории Колыми|СМИ|27.11.2019|МАГАДАН. КОЛЫМА-ИНФОРМ. 27 ноября 1934 года газета «Колымская правда» начала выходить под названием «Дальстроевец» (орган гостреста «Дальстрой»). Редактор — А. И. Бахарев.Орган печати ведет наало от газеты «Дальстрой», орган парткома и райпрофкома гостреста «Дальстрой», первый номер которой вышел 1 октября 1932 года. Печаталась она на стеклографе. Под названием «Дальстрой» вышло десять номеров.Газета печаталась по адресу: бухта Нагаева, ул. Газетная, дом парткома. Впоследствии, сохраняя валовую нумерацию, газета меняла названия: с 15 января 1933 г. — «Колымская правда», затем, с 27 ноября 1934 г., — «Дальстроевец», 23 июля 1935 г. вышла как газета «Советская Колыма», с 20 января 1954 г. — газета «Магаданская правда».
Прямая линия с Губернатором Сергеем Носовым пройдет в соцсетях|Общество|ЦУР|26.09.2022|МАГАДАН. КОЛЫМА-ИНФОРМ. Во вторник, 27 сентября на площадках Центра управления регионом в соцсетях «ВКонтакте» (https://vk.com/tsur49) и «Одноклассники»  (https://ok.ru/group/68642615590957)пройдет Прямая линия с ГубернаторомСергеем Носовым.Трансляция будет доступна также в аккаунтах Правительства Магаданской области (https://vk.com/49gov) и медиахолдинга «Колыма» (https://vk.com/kolymaplus).Задать вопрос главе региона вы можете уже сейчас. Переходите в Telegram-бот ЦУР – @tsur49bot. Выбирайте вкладку «Вопрос губернатору» и оставляйте обращение, следуя инструкции.Начало эфира в 17:00
No Title|Разное|None|No Date|No Content
Все работы на площадке идут по графику, строители приступают к заливке второго этажа будущего аэровокзала|Разное|Строительство|19.08.2023|МАГАДАН. КОЛЫМА-ИНФОРМ. Губернатор Магаданской областиСергей Носовпроконтролировал ход строительства нового терминала магаданского аэропорта. Все работы на площадке идут по графику, строители приступают к заливке второго этажа будущего аэровокзала, сообщил глава региона в своих социальных сетях.«Это уже второй этаж нашего будущего аэровокзала. Подрядчик приступает к заливке полов. Также возводят шахты для выходов на телетрапы. Работы идут в графике», –написалГубернатор Магаданской области Сергей Носов.Здание для нового аэровокзального комплекса должно быть сдано в эксплуатацию в декабре 2024 года. Его пропускная способность составит около 800 пассажиров в час. Новый терминал будет оснащен двумя телескопическими трапами и автоматической системой обработки багажа.
Внимание! Сосульки могут стать причиной травмы!|Разное|Безопасность|27.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В связи с потеплением и обильными снегопадами на крышах зданий возможно образование сосулек. Последствия их падения могут быть плачевными, можно получить травмы опасные для жизни. Во избежание травматизма, необходимо соблюдать меры безопасности, а также научить своих детей безопасному поведению вблизи жилых домов и зданий.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе Магаданского центра МЧС России.Не проходите в непосредственной близости к зданиям. Передвигаться нужно по внешней стороне тротуаров, чтобы не попасть под удар упавших сосулек. Если Вам необходимо пройти под карнизом здания с сосульками, внимательно посмотрите на состояние обледенения. Старайтесь как можно быстрее преодолеть этот участок;Прежде, чем заходить в здание обратите внимание на его козырек. Не стойте под карнизами зданий, на которых образовались сосульки;Ни в коем случае не заходите за натянутые ленты ограждений;Не паркуйте автомобиль вблизи зданий, на которых видны сосульки.Если вы заметили, что на какой-то крыше угрожающе висит сосулька или снежная глыба, незамедлительно позвоните и сообщите о данном факте в организацию, осуществляющую эксплуатацию этого здания.Родителям и педагогам необходимо разъяснить детям опасность игр во время оттепели под карнизами крыш домов, исключить их пребывание во внеучебное время в этих местах. Во время прогулок на свежем воздухе с маленькими детьми, находящимися в детских колясках, не оставляйте их без присмотра и не находитесь с ними в местах возможного падения с крыш глыб льда, снега, крупных сосулек.Уважаемые граждане! Ответственность и осознание опасности нарушении данных рекомендаций – залог вашей личной безопасности и безопасности ваших близких в условиях снеготаяния!Если вы стали свидетелем происшествия, вызванного падением сосулек, звоните в службу спасения «101» или «112»."
Горлесхоз приступил к изготовлению новогодних ёлок|Разное|Новый Год|08.11.2023|"МАГАДАН. КОЛЫМА-ИНФОРМ. Традиционно в ноябрьские дни в Магаданском городском лесхозе витает свежий хвойный аромат. Специалисты приступили к переработке порубочных остатков стланика, полученного в ходе противопожарных мероприятий.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г. Магадана.Летом и осенью лесники чистили от растительности защитные минерализованные полосы в окрестностях Магадана, а также прокладывали новые. Проводили ежегодные работы по противопожарному обустройству лесов. Порубочные остатки перерабатывают с пользой, создают праздник. Теперь специалисты учреждения не лесники, а новогодние волшебники.Из веток стланика они делают пушистые ёлки для образовательных организаций и свободной продажи. Работают творчески, с добрым посылом. В этом году заготовили порядка 400 складочных кубометров ароматных веток.Основой служат жерди, также из порубочных остатков. Кроме того, Лесхоз предоставит материал для установки главного символа Нового года на городских площадях.Мы делаем елки разных размеров - от 1 до 6 метров. В день – около 5 штук в зависимости от высоты. Обычно самые востребованные небольшие - от 1 до 2,5 метров, - рассказал руководитель Горлесхоза Андрей Лепёшкин.Приобрести готовых зеленых красавиц и отдельные ароматные веточки в Лесхозе можно будет уже в начале декабря. Специалисты заверяют, что цены на елки будут доступные. По сравнению с прошлым годом их все же подняли, так как подорожали материалы, но незначительно. Так, самая маленькая ёлочка обойдётся в 1869 рублей, а 2-х метровая – в 3396 рублей.Лесники говорят, что кедровый стланик содержит много смоляных ходов, поэтому имеет густой хвойный аромат, который обладает антимикробным и противовирусным свойствами. Поэтому елочка в праздничные дни не только украсит дом, но и защитит здоровье его обитателей."
В Центре народных художественных промыслов состоится открытие выставки «ЭтноЁлка»|Культура и искусство|None|27.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. 13 декабря в 17.30 в Центре народных художественных промыслов и ремесел Образовательного творческого объединения культуры состоится открытие новой выставки «ЭтноЁлка» (6+), которая станет итогом одноимённого творческого проекта.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в Министерстве культуры и туризма Магаданской области.Ремесленный проект «ЭтноЁлка» реализует Автономная некоммерческая организация «Центр народных художественных промыслов и ремесел Магаданской области». Проект в мае 2024 года стал победителем конкурса «Инициатива Колымы» по отбору социально ориентированных некоммерческих организаций для предоставления грантов в целях реализации социальных проектов на территории Магаданской области.В течение нескольких месяцев, с сентября по ноябрь, 8 мастеров-ремесленников проводили 11 мастер-классов по созданию новогодней игрушки в разных техниках: мезенская роспись деревянной игрушки, пижемская роспись деревянной ложки, текстильная игрушка в северном стиле, вышивка бисером панно, создание новогоднего декора в этническим стиле, русская обережная кукла, традиционная русская кукла из ваты, этническая кукла в северной традиции, сувенирные валенки и рукавички в технике мокрого валяния, создание керамических игрушек на елку по мотивам русских сказок и сказок народов Севера. Итогом работы стали новогодние этнические изделия, отражающие исторические и культурные мотивы народно-художественных промыслов России.Сувениры, куклы, игрушки будут представлены колымчанам на выставке «ЭтноЁлка» в Центре народных художественных промыслов и ремесел на улице Пролетарской, дом 11.? Выставка «ЭтноЁлка» – живое, увлекательное и наглядное знакомство с советскими и российскими традициями, историей страны через игрушку. Новогодние игрушки, созданные в рамках проекта, еще раз подчеркнут национальную идентичность народов России, проживающих в Магаданской области, – отмечают организаторы.Познакомиться с выставкой можно будет до конца января. Часы работы: в будние дни с 12.00 до 18.00, в субботу с 12.00 до 17.00, воскресенье – выходной. Справки по телефону 8(4132)617024, добавочный 310."
Виктория Голубева: «Единая Россия» запускает конкурс «Крепкая семья — сильная страна»|Общество|ЕР|05.04.2022|МАГАДАН. КОЛЫМА-ИНФОРМ. В ходе конкурса будет оцениваться инфраструктура, удобная для семьи«Партпроект «Крепкая семья» дал старт конкурсу, в рамках которого во всех регионах, в том числе и в Магаданской области, будет оценена инфраструктура, удобная для семьи, информационная политика региона, в которую входят семейные ценности, поддержка отцовства, материнства, многодетности, рождения ребенка, а также те социальные инициативы, которые реализуются в регионе», — пояснила   региональный координатор проекта «Крепкая семья», заместитель председателя Магаданской областной Думы Виктория Голубева.Виктория Голубева отметила, что информацию о мерах поддержки семей регион направит до 15 мая.«Важный акцент будет сделан на том, насколько регион готов проводить пропаганду семейных ценностей, поддержку материнства, отцовства на телевидении, в интернете, есть ли баннерная реклама. Также важно будет отметить, какие действуют меры поддержки, и насколько они реально помогают семьям, а также желание региона пойти навстречу семье», — сказала Виктория Голубева.Региональный координатор также пояснила, почему партийный конкурс решили назвать «Крепкая семья — сильная страна».«Это не просто слова — это наша цель. Если у нас будут большие и крепкие семьи, то у нас будет крепкая страна, суверенная и сильная Россия. Демография — это про каждого из нас. В рамках конкурса будут выбраны самые дружественные к семье регионы», — отметила она.Итоги конкурса подведут 15 мая - к Международному дню семьи.Напомним, развитие демографической политики, поддержка материнства и детства, помощь семьям остаются важнейшими задачами региональной власти Магаданской области. В соответствии с поручениями Президента страны Владимира Путина реализуются различные программы, направленные на повышение доходов колымчан, качество и уровень их жизни. В Магаданской области предоставляется более 40 видов регулярно индексируемых социальных выплат. Ежегодно совершенствуется региональная законодательная база, позволяющая оказывать помощь всем категориям семей с детьми. По инициативе губернатора, Секретаря регионального отделения партии Сергея Носова осуществляется дополнительная поддержка семей при рождении первенца, введен региональный материнский капитал при рождении второго ребенка. Многодетные семьи обеспечиваются бесплатными земельными участками под жилищное строительство, для ведения садоводства, подсобного хозяйства. Действуют и другие меры поддержки семей с детьми.
Всероссийская акция «Стоп ВИЧ/СПИД» проходит в Магадане|Здоровье|ВИЧ|28.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В период с 25 ноября по 1 декабря традиционно проходит Всероссийская акция «Стоп ВИЧ/СПИД». Она приурочена ко Всемирному дню борьбы со СПИД, который отмечается 1 декабря.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г. Магадана.Цель акции - привлечение внимания общественности к проблеме распространения ВИЧ-инфекции в Российской Федерации.По состоянию на 1 ноября текущего года за весь период наблюдения на территории Магаданской области зарегистрировано 836 случаев заражения ВИЧ-инфекцией. За десять месяцев 2024 года - 75 случаев ВИЧ-инфекции. Из них: 38 – это впервые выявленные случаи у жителей региона, 3 у иностранных граждан, остальные – это граждане с уже установленным ранее диагнозом ВИЧ-инфекции, прибывшие с других территорий для временного проживания (вахтовая работа), освободившиеся из мест заключения.Почти 85% заболевших в возрасте 30-49 лет. Среди вновь выявленных случаяв ВИЧ-инфекции в 2024 году в 84% - половой путь заражения.Своевременное выявление ВИЧ позволяет снизить риск передачи, обеспечить лечение, направленное на подавление вируса, сохранение иммунитета, а значит, дает возможность жить полноценно – учиться, работать, путешествовать, заниматься спортом, иметь здоровую семью.Обследоваться на ВИЧ необходимо ежегодно, а при рискованном поведении (незащищенный секс, прием наркотиков) - чаще.Пройти бесплатное тестирование на ВИЧ можно в Центре СПИД: г. Магадан, ул. Попова, 7/2, в рабочие дни с 08:00 до 16:00 (обед с 13:00 до 14:00), тел. регистратуры: 8 (4132) 64-14-90.Кроме того, в период с 25 ноября по 6 декабря 2024 года будет организована работа горячей линии по профилактике ВИЧ-инфекции. Специалисты Управления и ФБУЗ «Центр гигиены и эпидемиологии в Магаданской области» проконсультируют обратившихся граждан по вопросам профилактики заболевания и безопасного поведения, о получении доступного эффективного лечения.По всем интересующим вопросам на данную тему можно обращаться ежедневно с 10:00 до 17:00, перерыв с 13:00 до 14:00:- на «горячую линию» Управления Роспотребнадзора по Магаданской области в отдел эпидемиологического надзора по телефонам: 8 (413-2) 60-05-06, 8 (413-2) 65-29-19;- в ФБУЗ «Центр гигиены и эпидемиологии в Магаданской области» по телефону: 8 (413-2) 65-09-33.Также с вопросами можно обратиться в круглосуточный Единый Консультационный центр Роспотребнадзора по телефону: 8-800-555-49-43.Пожалуйста, заполните анонимную анкету и поучаствуйте в онлайн-викторине по изучению уровня информированности о ВИЧ-инфекции, используя QR-коды или ссылки:- https://forms.yandex.ru/u/64ffe61384227cd191710d0b/- https://wordwall.net/play/76358/768/2647"
2 декабря 1953 года образованы Сусуманский, Ягоднинский и Тенькинский районы|День в истории Колыми|None|02.12.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. 2 декабря 1953 года образованы Сусуманский, Ягоднинский и Тенькинский районы. 2 декабря 1953 г. Указом Президиума Верховного Совета РСФСР в составе Хабаровского края образованы Сусуманский, Тенькинский и Ягоднинский сельские районы. 3 декабря того же года они были включены в состав образованной Указом Президиума Верховного Совета СССР Магаданской области.12 января 1965 г. сельские районы были преобразованы в районы.2 декабря 1939 года в Магадане открылись двухэтажные ясли на 200 мест. Автор проекта А.И. Смирнов. Ныне детское образовательное учреждение №45 на улице Пушкина.
No Title|Разное|None|No Date|No Content
МТС улучшила связь на участке федеральной трассы «Колыма»|Разное|МТС|29.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. ПАО «МТС» (MOEX: MTSS), цифровая экосистема, сообщает о модернизации оборудования связи в поселке Холодный, расположенный на участке федеральной трассы Р-504 «Колыма». Специалисты улучшили покрытие мобильной сети, доступное теперь на всей территории поселка, а также на участке горнорудного предприятия.Через поселок Холодный проходит одна из самых известных и самых суровых автомобильных дорог на Дальнем Востоке Р-504 «Колыма» или Колымская трасса. Автодорога соединяет северо-восточные районы Якутии и Магаданскую область и привлекает автопутешественников. искателей приключений, готовых бросить вызов самым суровым испытаниям для человека и техники. Теперь совершая остановку в поселке Холодный, туристы могут загрузить новые видео для своего блога, свериться с онлайн картами местности, проверить прогноз погоды и оценить дорожную ситуацию на оставшемся участке пути.Скоростной мобильный интернет также доступен жителям поселка и сезонным работникам, приезжающим на север Магаданской области из разных регионов страны для работы в сфере добычи полезных ископаемых, транспорта и логистики. Благодаря новому качеству связи они могут совершать звонки родным и близким в высоком качестве, делиться в соцсетях фото и видео красот магаданской природы, смотреть фильмы, пользоваться различными цифровыми сервисами.«Скоростной мобильный интернет и качественная связь сегодня позволяют решить множество повседневных и бытовых задач: удаленно работать и учиться, оформлять необходимые документы и получать справки, путешественники или туристы при необходимости могут оперативно связаться со службами спасения или сделать видеозвонок родным, если вдруг изменились планы.  Для этого МТС модернизирует телеком-оборудование, улучшая качественные характеристики сети», – отметил директор филиала МТС в Магаданской области Евгений Никишин.
